examine,id,metadata.examine,metadata.highalch,metadata.icon,metadata.id,metadata.limit,metadata.lowalch,metadata.members,metadata.name,metadata.value,name,price,price.high,price.highTime,price.low,price.lowTime,roi
Lets you get away with it - sometimes.,21143,Lets you get away with it - sometimes.,630,Dodgy necklace.png,21143,10000,420,True,Dodgy necklace,1050,Dodgy necklace,,1250,1760563456,1209,1760563195,0.03391232423490488
"A tasty herb, good for seasoning.",1573,"A tasty herb, good for seasoning.",1,Doogle leaves.png,1573,15,1,True,Doogle leaves,2,Doogle leaves,,149,1760562963,293,1760560157,-0.49146757679180886
This fires crossbow bolts.,8880,This fires crossbow bolts.,1200,Dorgeshuun crossbow.png,8880,70,800,True,Dorgeshuun crossbow,2000,Dorgeshuun crossbow,,2258,1760562686,2258,1760559983,0.0
A black piece of cloth on a string.,19727,A black piece of cloth on a string.,1,Double eye patch.png,19727,4,1,True,Double eye patch,2,Double eye patch,,24900,1760483156,21395,1760516315,0.16382332320635662
It looks like this could be attached to a shield somehow.,11286,It looks like this could be attached to a shield somehow.,450000,Draconic visage.png,11286,5,300000,True,Draconic visage,750000,Draconic visage,,4147359,1760562136,4119191,1760562720,0.006838235954584286
A two-handed Dragon Sword.,7158,A two-handed Dragon Sword.,132000,Dragon 2h sword.png,7158,8,88000,True,Dragon 2h sword,220000,Dragon 2h sword,,139999,1760563478,130398,1760563478,0.07362842988389393
"A set containing a full helm, platebody, legs and kiteshield.",21882,"A set containing a full helm, platebody, legs and kiteshield.",300000,Dragon armour set (lg).png,21882,8,200000,True,Dragon armour set (lg),500000,Dragon armour set (lg),,153972000,1760510379,146167005,1760556181,0.05339778974057791
"A set containing a full helm, platebody, skirt and kiteshield.",21885,"A set containing a full helm, platebody, skirt and kiteshield.",300000,Dragon armour set (sk).png,21885,8,200000,True,Dragon armour set (sk),500000,Dragon armour set (sk),,104281888,1694374336,130000000,1753484813,-0.19783163076923077
An arrow made using a dragon's talon.,11212,An arrow made using a dragon's talon.,480,Dragon arrow 5.png,11212,11000,320,True,Dragon arrow,800,Dragon arrow,,2238,1760563474,2181,1760563482,0.026134800550206328
Venomous-looking arrows.,11227,Venomous-looking arrows.,480,Dragon arrow(p) 5.png,11227,11000,320,True,Dragon arrow(p),800,Dragon arrow(p),,2798,1760561755,2425,1760555201,0.15381443298969072
Venomous-looking arrows.,11228,Venomous-looking arrows.,480,Dragon arrow(p+) 5.png,11228,11000,320,True,Dragon arrow(p+),800,Dragon arrow(p+),,3250,1760550506,2609,1760547852,0.24568800306630892
Venomous-looking arrows.,11229,Venomous-looking arrows.,480,Dragon arrow(p++) 5.png,11229,11000,320,True,Dragon arrow(p++),800,Dragon arrow(p++),,3395,1760563081,3217,1760563265,0.05533105377681069
"Dragon talons, usable as arrowheads.",11237,"Dragon talons, usable as arrowheads.",300,Dragon arrowtips.png,11237,10000,200,True,Dragon arrowtips,500,Dragon arrowtips,,2262,1760563341,2222,1760563461,0.018001800180018002
A very powerful axe.,6739,A very powerful axe.,33000,Dragon axe.png,6739,40,22000,True,Dragon axe,55000,Dragon axe,,72000,1760563455,65500,1760563341,0.09923664122137404
A vicious looking axe.,1377,A vicious looking axe.,120000,Dragon battleaxe.png,1377,70,80000,True,Dragon battleaxe,200000,Dragon battleaxe,,119257,1760563387,118506,1760563461,0.006337231870116281
A glass of bitter.,1911,A glass of bitter.,1,Dragon bitter.png,1911,2000,1,True,Dragon bitter,2,Dragon bitter,,600,1760552133,537,1760555407,0.11731843575418995
How does it all fit in there?,8524,How does it all fit in there?,6,Dragon bitter (flatpack).png,8524,500,4,True,Dragon bitter (flatpack),10,Dragon bitter (flatpack),,343,1759714987,1500,1759632667,-0.7713333333333333
This keg contains 4 pints of Dragon Bitter.,5809,This keg contains 4 pints of Dragon Bitter.,1,Dragon bitter(4).png,5809,2000,1,True,Dragon bitter(4),1,Dragon bitter(4),,8324,1760389142,7500,1760028252,0.10986666666666667
This looks a good deal stronger than normal Dragon Bitter.,5745,This looks a good deal stronger than normal Dragon Bitter.,1,Dragon bitter(m).png,5745,2000,1,True,Dragon bitter(m),2,Dragon bitter(m),,3596,1759756561,3596,1759151292,0.0
This keg contains 4 pints of mature Dragon Bitter.,5889,This keg contains 4 pints of mature Dragon Bitter.,1,Dragon bitter(m4).png,5889,2000,1,True,Dragon bitter(m4),1,Dragon bitter(m4),,22215,1757217671,18601,1756778912,0.19429062953604645
Dragon crossbow bolts.,21905,Dragon crossbow bolts.,255,Dragon bolts 5.png,21905,11000,170,True,Dragon bolts,425,Dragon bolts,,2800,1760563413,2797,1760563150,0.0010725777618877368
Some poisoned dragon bolts.,21924,Some poisoned dragon bolts.,258,Dragon bolts (p) 5.png,21924,11000,172,True,Dragon bolts (p),430,Dragon bolts (p),,2316,1758220334,2431,1760466530,-0.04730563554092966
Some poisoned dragon bolts.,21926,Some poisoned dragon bolts.,261,Dragon bolts (p+) 5.png,21926,11000,174,True,Dragon bolts (p+),435,Dragon bolts (p+),,3249,1757434480,2001,1760466538,0.623688155922039
Some poisoned dragon bolts.,21928,Some poisoned dragon bolts.,264,Dragon bolts (p++) 5.png,21928,11000,176,True,Dragon bolts (p++),440,Dragon bolts (p++),,3173,1760553464,3005,1760546752,0.055906821963394346
Unfeathered dragon crossbow bolts.,21930,Unfeathered dragon crossbow bolts.,84,Dragon bolts (unf) 5.png,21930,13000,56,True,Dragon bolts (unf),141,Dragon bolts (unf),,2882,1760563238,2762,1760563483,0.04344677769732078
These would feed a dog for months!,536,These would feed a dog for months!,96,Dragon bones.png,536,7500,64,True,Dragon bones,160,Dragon bones,,2225,1760563489,2174,1760563473,0.023459061637534497
These will protect my feet.,11840,These will protect my feet.,12000,Dragon boots.png,11840,70,8000,True,Dragon boots,20000,Dragon boots,,307414,1760563446,299774,1760563484,0.025485866019067698
Use on some dragon boots to make them look fancier!,22231,Use on some dragon boots to make them look fancier!,3000,Dragon boots ornament kit.png,22231,4,2000,True,Dragon boots ornament kit,5000,Dragon boots ornament kit,,10491,1760561959,8970,1760563366,0.16956521739130434
An onyx topped cane.,12373,An onyx topped cane.,18000,Dragon cane.png,12373,4,12000,True,Dragon cane,30000,Dragon cane,,34360,1760550255,23886,1760550271,0.43849953947919285
A series of connected metal rings.,3140,A series of connected metal rings.,150000,Dragon chainbody.png,3140,70,100000,True,Dragon chainbody,250000,Dragon chainbody,,429222,1760563490,412267,1760563461,0.04112626040890976
Use on a dragon chainbody to make it look fancier!,12534,Use on a dragon chainbody to make it look fancier!,3000,Dragon chainbody ornament kit.png,12534,4,2000,True,Dragon chainbody ornament kit,5000,Dragon chainbody ornament kit,,2487,1760550703,3000,1760559598,-0.171
A set of fighting claws.,13652,A set of fighting claws.,123000,Dragon claws.png,13652,8,82000,True,Dragon claws,205000,Dragon claws,,46796597,1760563459,45725000,1760563237,0.0234356916347731
A dragon crossbow.,21902,A dragon crossbow.,32400,Dragon crossbow.png,21902,70,21600,True,Dragon crossbow,54000,Dragon crossbow,,1091477,1760563464,1065416,1760563376,0.02446086786757473
An unstrung dragon crossbow.,21921,An unstrung dragon crossbow.,18000,Dragon crossbow (u).png,21921,10000,12000,True,Dragon crossbow (u),30000,Dragon crossbow (u),,1091478,1760481181,1091478,1760550659,0.0
A powerful dagger.,1215,A powerful dagger.,18000,Dragon dagger.png,1215,70,12000,True,Dragon dagger,30000,Dragon dagger,,17060,1760563261,17140,1760563466,-0.004667444574095682
A powerful dagger.,1231,A powerful dagger.,14400,Dragon dagger(p).png,1231,70,9600,True,Dragon dagger(p),24000,Dragon dagger(p),,19348,1760559808,19052,1760559040,0.015536426621876969
A powerful dagger.,5680,A powerful dagger.,14400,Dragon dagger(p+).png,5680,70,9600,True,Dragon dagger(p+),24000,Dragon dagger(p+),,16500,1760560143,16200,1760562657,0.018518518518518517
A powerful dagger.,5698,A powerful dagger.,14400,Dragon dagger(p++).png,5698,70,9600,True,Dragon dagger(p++),24000,Dragon dagger(p++),,21835,1760563484,21000,1760563274,0.03976190476190476
A deadly throwing dart with a dragon tip.,11230,A deadly throwing dart with a dragon tip.,300,Dragon dart.png,11230,11000,200,True,Dragon dart,500,Dragon dart,,1214,1760563491,1211,1760563470,0.002477291494632535
A deadly looking dragon dart tip - needs feathers for flight.,11232,A deadly looking dragon dart tip - needs feathers for flight.,150,Dragon dart tip.png,11232,11000,100,True,Dragon dart tip,250,Dragon dart tip,,1543,1760563375,1508,1760563471,0.023209549071618037
A deadly poisoned dart with a dragon tip.,11231,A deadly poisoned dart with a dragon tip.,300,Dragon dart(p).png,11231,11000,200,True,Dragon dart(p),500,Dragon dart(p),,1390,1760532651,1267,1760557970,0.09707971586424625
A deadly poisoned dart with a dragon tip.,11233,A deadly poisoned dart with a dragon tip.,300,Dragon dart(p+).png,11233,11000,200,True,Dragon dart(p+),500,Dragon dart(p+),,1671,1760555956,1671,1760562114,0.0
A deadly poisoned dart with a dragon tip.,11234,A deadly poisoned dart with a dragon tip.,300,Dragon dart(p++).png,11234,11000,200,True,Dragon dart(p++),500,Dragon dart(p++),,2480,1760562629,2280,1760563064,0.08771929824561403
Use on the dragon defender to trim it with gold.,20143,Use on the dragon defender to trim it with gold.,3000,Dragon defender ornament kit.png,20143,4,2000,True,Dragon defender ornament kit,5000,Dragon defender ornament kit,,27450,1760562700,26889,1760563382,0.020863550150619213
A woodcutter's axe.,28217,A woodcutter's axe.,33000,Dragon felling axe.png,28217,,22000,True,Dragon felling axe,55000,Dragon felling axe,,1952021,1760563270,1926500,1760563083,0.013247339735271218
Protects your head and looks impressive too.,11335,Protects your head and looks impressive too.,90000,Dragon full helm.png,11335,8,60000,True,Dragon full helm,150000,Dragon full helm,,58278947,1760563066,59240437,1760563021,-0.016230298908834855
Use on a dragon full helm to make it look fancier!,12538,Use on a dragon full helm to make it look fancier!,3000,Dragon full helm ornament kit.png,12538,4,2000,True,Dragon full helm ornament kit,5000,Dragon full helm ornament kit,,149990,1760562445,10088,1760557297,13.868160190325138
A dragon halberd.,3204,A dragon halberd.,150000,Dragon halberd.png,3204,70,100000,True,Dragon halberd,250000,Dragon halberd,,149059,1760562838,148806,1760563433,0.0017002002607421744
A very powerful harpoon.,21028,A very powerful harpoon.,33000,Dragon harpoon.png,21028,5,22000,True,Dragon harpoon,55000,Dragon harpoon,,2950000,1760562789,2800000,1760562867,0.05357142857142857
A one-handed dragon hasta.,22731,A one-handed dragon hasta.,37440,Dragon hasta.png,22731,70,24960,True,Dragon hasta,62400,Dragon hasta,,44999,1760562452,42152,1760562539,0.06754127918011008
"A poison-tipped, one-handed dragon hasta",22734,"A poison-tipped, one-handed dragon hasta",37440,Dragon hasta(p).png,22734,70,24960,True,Dragon hasta(p),62400,Dragon hasta(p),,46277,1760110968,53973,1760371763,-0.14258981342523114
"A poison-tipped, one-handed dragon hasta",22737,"A poison-tipped, one-handed dragon hasta",37440,Dragon hasta(p+).png,22737,70,24960,True,Dragon hasta(p+),62400,Dragon hasta(p+),,1,1760257074,34929,1760535105,-0.9999713704944315
"A poison-tipped, one-handed dragon hasta",22740,"A poison-tipped, one-handed dragon hasta",37440,Dragon hasta(p++).png,22740,70,24960,True,Dragon hasta(p++),62400,Dragon hasta(p++),,40265,1760549264,39900,1760520304,0.009147869674185464
A crossbow used for dragon hunting.,21012,A crossbow used for dragon hunting.,48000,Dragon hunter crossbow.png,21012,8,32000,True,Dragon hunter crossbow,80000,Dragon hunter crossbow,,45000000,1760563194,44465827,1760562972,0.012013112901284845
A lance that is exceptionally good at killing dragons and their ilk.,22978,A lance that is exceptionally good at killing dragons and their ilk.,180000,Dragon hunter lance.png,22978,8,120000,True,Dragon hunter lance,300000,Dragon hunter lance,,60120335,1760563448,58504052,1760562911,0.02762685565779273
A wand that is uniquely attuned to draconic creatures.,30070,A wand that is uniquely attuned to draconic creatures.,180000,Dragon hunter wand.png,30070,8,120000,True,Dragon hunter wand,300000,Dragon hunter wand,,9631157,1760563056,9367331,1760563174,0.028164479295116188
Dragon impling in a jar.,11256,Dragon impling in a jar.,30,Dragon impling jar.png,11256,18000,20,True,Dragon impling jar,50,Dragon impling jar,,345287,1760559805,342069,1760563419,0.009407458729086821
A dragon tipped javelin.,19484,A dragon tipped javelin.,270,Dragon javelin.png,19484,11000,180,True,Dragon javelin,450,Dragon javelin,,860,1760562967,803,1760563456,0.07098381070983811
Needs a shaft.,19582,Needs a shaft.,1170,Dragon javelin heads 5.png,19582,10000,780,True,Dragon javelin heads,1950,Dragon javelin heads,,843,1760563465,842,1760563492,0.0011876484560570072
A dragon tipped javelin.,19486,A dragon tipped javelin.,270,Dragon javelin(p).png,19486,11000,180,True,Dragon javelin(p),450,Dragon javelin(p),,946,1760562968,712,1760553402,0.32865168539325845
A dragon tipped javelin.,19488,A dragon tipped javelin.,270,Dragon javelin(p+).png,19488,11000,180,True,Dragon javelin(p+),450,Dragon javelin(p+),,1318,1760554147,1318,1760555888,0.0
A dragon tipped javelin.,19490,A dragon tipped javelin.,270,Dragon javelin(p++).png,19490,11000,180,True,Dragon javelin(p++),450,Dragon javelin(p++),,1889,1760559657,1641,1760562974,0.15112736136502133
An ancient and powerful looking Dragon Kiteshield.,21895,An ancient and powerful looking Dragon Kiteshield.,960000,Dragon kiteshield.png,21895,70,640000,True,Dragon kiteshield,1600000,Dragon kiteshield,,84800000,1760514378,82197723,1760540761,0.03165874801665735
Use on a dragon kiteshield to make it look fancier!,22239,Use on a dragon kiteshield to make it look fancier!,3000,Dragon kiteshield ornament kit.png,22239,4,2000,True,Dragon kiteshield ornament kit,5000,Dragon kiteshield ornament kit,,4244443,1760514432,3945000,1760556213,0.0759044359949303
A finely balanced and powerful throwing knife.,22804,A finely balanced and powerful throwing knife.,100,Dragon knife.png,22804,11000,66,True,Dragon knife,167,Dragon knife,,8311,1760562783,8200,1760563221,0.013536585365853658
A finely balanced and powerful throwing knife.,22806,A finely balanced and powerful throwing knife.,99,Dragon knife(p).png,22806,7000,66,True,Dragon knife(p),166,Dragon knife(p),,9129,1760554470,8525,1760563172,0.07085043988269794
A finely balanced and powerful throwing knife.,22808,A finely balanced and powerful throwing knife.,99,Dragon knife(p+).png,22808,7000,66,True,Dragon knife(p+),166,Dragon knife(p+),,10232,1760561154,7600,1760562960,0.3463157894736842
A finely balanced and powerful throwing knife.,22810,A finely balanced and powerful throwing knife.,99,Dragon knife(p++).png,22810,7000,66,True,Dragon knife(p++),166,Dragon knife(p++),,8290,1760560765,8042,1760562130,0.030838099975130564
Use on dragon platelegs or plateskirt to make them look fancier!,12536,Use on dragon platelegs or plateskirt to make them look fancier!,3000,Dragon legs+skirt ornament kit.png,12536,4,2000,True,Dragon legs/skirt ornament kit,5000,Dragon legs/skirt ornament kit,,3675,1760561935,3675,1760561935,0.0
A pair of dragon crossbow limbs.,21918,A pair of dragon crossbow limbs.,21000,Dragon limbs.png,21918,10000,14000,True,Dragon limbs,35000,Dragon limbs,,1070000,1760560144,1047017,1760563303,0.021950932983896155
A very powerful sword.,1305,A very powerful sword.,60000,Dragon longsword.png,1305,70,40000,True,Dragon longsword,100000,Dragon longsword,,59023,1760563490,59023,1760563476,0.0
A spiky mace.,1434,A spiky mace.,30000,Dragon mace.png,1434,70,20000,True,Dragon mace,50000,Dragon mace,,29108,1760563434,29000,1760563491,0.0037241379310344828
Makes the wearer pretty intimidating.,1149,Makes the wearer pretty intimidating.,60000,Dragon med helm.png,1149,8,40000,True,Dragon med helm,100000,Dragon med helm,,60997,1760563460,58000,1760563460,0.05167241379310345
A badly damaged lump of dragon metal.,22103,A badly damaged lump of dragon metal.,90000,Dragon metal lump.png,22103,50,60000,True,Dragon metal lump,150000,Dragon metal lump,,156317,1760560775,156159,1760561449,0.0010117892660685584
A badly damaged shard of dragon metal.,22097,A badly damaged shard of dragon metal.,720000,Dragon metal shard.png,22097,50,480000,True,Dragon metal shard,1200000,Dragon metal shard,,1850000,1760485574,1850000,1760485574,0.0
A badly damaged slice of dragon metal.,22100,A badly damaged slice of dragon metal.,60000,Dragon metal slice.png,22100,50,40000,True,Dragon metal slice,100000,Dragon metal slice,,80000000,1760147913,79733003,1760392177,0.0033486384552705232
I wonder if this is valuable.,1664,I wonder if this is valuable.,11025,Dragon necklace.png,1664,10000,7350,True,Dragon necklace,18375,Dragon necklace,,11783,1760563053,11211,1760563156,0.05102131834805102
"If rocks could feel fear, they'd fear this.",11920,"If rocks could feel fear, they'd fear this.",58770,Dragon pickaxe.png,11920,40,39180,True,Dragon pickaxe,97950,Dragon pickaxe,,611000,1760563450,602748,1760563104,0.013690630246802976
Makes a dragon pickaxe more beautiful.,12800,Makes a dragon pickaxe more beautiful.,960,Dragon pickaxe upgrade kit.png,12800,50,640,True,Dragon pickaxe upgrade kit,1600,Dragon pickaxe upgrade kit,,1406000,1760560544,1200000,1760558931,0.17166666666666666
Provides excellent protection.,21892,Provides excellent protection.,1200000,Dragon platebody.png,21892,70,800000,True,Dragon platebody,2000000,Dragon platebody,,2570999,1760562889,2554543,1760561446,0.0064418567234922255
Use on a dragon platebody to make it look fancier!,22236,Use on a dragon platebody to make it look fancier!,3000,Dragon platebody ornament kit.png,22236,4,2000,True,Dragon platebody ornament kit,5000,Dragon platebody ornament kit,,9430302,1760562053,8780403,1760556196,0.0740169898807606
These look pretty heavy.,4087,These look pretty heavy.,162000,Dragon platelegs.png,4087,70,108000,True,Dragon platelegs,270000,Dragon platelegs,,162900,1760563472,161000,1760563484,0.011801242236024845
This looks pretty heavy.,4585,This looks pretty heavy.,162000,Dragon plateskirt.png,4585,70,108000,True,Dragon plateskirt,270000,Dragon plateskirt,,160988,1760563007,160988,1760563475,0.0
Finely ground scale of Dragon.,241,Finely ground scale of Dragon.,31,Dragon scale dust.png,241,13000,20,True,Dragon scale dust,52,Dragon scale dust,,97,1760562956,94,1760561877,0.031914893617021274
"A vicious, curved sword.",4587,"A vicious, curved sword.",60000,Dragon scimitar.png,4587,70,40000,True,Dragon scimitar,100000,Dragon scimitar,,59179,1760563465,59179,1760563467,0.0
Use on the dragon scimitar to trim it with gold.,20002,Use on the dragon scimitar to trim it with gold.,3000,Dragon scimitar ornament kit.png,20002,4,2000,True,Dragon scimitar ornament kit,5000,Dragon scimitar ornament kit,,150000,1760562123,135550,1760557557,0.1066027296200664
A dragon tipped spear.,1249,A dragon tipped spear.,37440,Dragon spear.png,1249,70,24960,True,Dragon spear,62400,Dragon spear,,38869,1760563333,36475,1760563403,0.06563399588759425
A poisoned dragon tipped spear.,1263,A poisoned dragon tipped spear.,37440,Dragon spear(p).png,1263,70,24960,True,Dragon spear(p),62400,Dragon spear(p),,38914,1760466772,36969,1760505805,0.05261164759663502
A poisoned dragon tipped spear.,5716,A poisoned dragon tipped spear.,37440,Dragon spear(p+).png,5716,70,24960,True,Dragon spear(p+),62400,Dragon spear(p+),,46638,1760476298,36045,1760309905,0.29388264669163544
A poisoned dragon tipped spear.,5730,A poisoned dragon tipped spear.,37440,Dragon spear(p++).png,5730,70,24960,True,Dragon spear(p++),62400,Dragon spear(p++),,46745,1760561380,40510,1760562655,0.1539126141693409
An ancient and powerful looking Dragon Square shield.,1187,An ancient and powerful looking Dragon Square shield.,300000,Dragon sq shield.png,1187,70,200000,True,Dragon sq shield,500000,Dragon sq shield,,309074,1760563345,302501,1760562595,0.021728853788913094
Use on a dragon square shield to make it look fancier!,12532,Use on a dragon square shield to make it look fancier!,3000,Dragon sq shield ornament kit.png,12532,4,2000,True,Dragon sq shield ornament kit,5000,Dragon sq shield ornament kit,,10000,1760554617,5679,1760556505,0.7608733932030287
A razor sharp sword.,21009,A razor sharp sword.,43200,Dragon sword.png,21009,70,28800,True,Dragon sword,72001,Dragon sword,,139000,1760563114,127715,1760563412,0.08836080335121169
A razor sharp throwing axe.,20849,A razor sharp throwing axe.,450,Dragon thrownaxe.png,20849,11000,300,True,Dragon thrownaxe,750,Dragon thrownaxe,,352,1760562581,350,1760563435,0.005714285714285714
"Spikey, close combat weapon.",13576,"Spikey, close combat weapon.",72000,Dragon warhammer.png,13576,8,48000,True,Dragon warhammer,120000,Dragon warhammer,,15172021,1760563399,14960000,1760563139,0.014172526737967914
A necklace made out of dragon bones.,22111,A necklace made out of dragon bones.,48000,Dragonbone necklace.png,22111,8,32000,True,Dragonbone necklace,80000,Dragonbone necklace,,97983,1760563485,95252,1760562832,0.02867131398815773
"A heavy shield with a snarling, draconic visage.",11284,"A heavy shield with a snarling, draconic visage.",1200000,Dragonfire shield (uncharged).png,11284,8,800000,True,Dragonfire shield,2000000,Dragonfire shield,,4190238,1760563414,4081588,1760563487,0.026619541217780922
"A light shield with a haunting, skeletal visage.",22003,"A light shield with a haunting, skeletal visage.",1200000,Dragonfire ward (uncharged).png,22003,8,800000,True,Dragonfire ward,2000000,Dragonfire ward,,13998825,1760562856,13873488,1760563460,0.009034281789842611
A large ripe dragonfruit.,22929,A large ripe dragonfruit.,57,Dragonfruit.png,22929,11000,38,True,Dragonfruit,95,Dragonfruit,,1600,1760563140,1505,1760563424,0.06312292358803986
Mmm dragonfruit pie.,22795,Mmm dragonfruit pie.,42,Dragonfruit pie.png,22795,10000,28,True,Dragonfruit pie,70,Dragonfruit pie,,542,1760563491,525,1760561415,0.03238095238095238
This sapling is ready to be replanted in a fruit tree patch.,22866,This sapling is ready to be replanted in a fruit tree patch.,1,Dragonfruit sapling.png,22866,200,1,True,Dragonfruit sapling,1,Dragonfruit sapling,,184400,1760563197,183046,1760561462,0.007397047736634507
Plant in a plantpot of soil to grow a sapling.,22877,Plant in a plantpot of soil to grow a sapling.,258,Dragonfruit tree seed 5.png,22877,200,172,True,Dragonfruit tree seed,430,Dragonfruit tree seed,,179997,1760561556,177622,1760563454,0.013371091418855773
This looks valuable.,1615,This looks valuable.,6000,Dragonstone.png,1615,11000,4000,True,Dragonstone,10000,Dragonstone,,11260,1760563107,11300,1760563485,-0.0035398230088495575
I wonder if I can get this enchanted.,1702,I wonder if I can get this enchanted.,10575,Dragonstone amulet.png,1702,10000,7050,True,Dragonstone amulet,17625,Dragonstone amulet,,11660,1760562964,11621,1760561490,0.0033559934601153085
It needs a string so I can wear it.,1683,It needs a string so I can wear it.,10575,Dragonstone amulet (u).png,1683,10000,7050,True,Dragonstone amulet (u),17625,Dragonstone amulet (u),,11973,1760555470,11200,1760563440,0.06901785714285714
"A set containing dragonstone helmet, platebody, platelegs, boots and gauntlets.",23667,"A set containing dragonstone helmet, platebody, platelegs, boots and gauntlets.",48000,Dragonstone armour set.png,23667,,32000,True,Dragonstone armour set,80000,Dragonstone armour set,,3480445,1760551708,3000000,1760547750,0.16014833333333334
Dragonstone bolt tips.,9193,Dragonstone bolt tips.,400,Dragonstone bolt tips 5.png,9193,11000,266,True,Dragonstone bolt tips,667,Dragonstone bolt tips,,675,1760563454,675,1760563491,0.0
Dragonstone tipped Runite crossbow bolts.,9341,Dragonstone tipped Runite crossbow bolts.,580,Dragonstone bolts 5.png,9341,11000,386,True,Dragonstone bolts,967,Dragonstone bolts,,911,1760562003,877,1760563364,0.03876852907639681
Enchanted Dragonstone tipped Runite Crossbow Bolts.,9244,Enchanted Dragonstone tipped Runite Crossbow Bolts.,637,Dragonstone bolts (e) 5.png,9244,11000,425,True,Dragonstone bolts (e),1063,Dragonstone bolts (e),,487,1760562723,480,1760563361,0.014583333333333334
A stylish pair of rune boots inlaid with dragonstones.,24043,A stylish pair of rune boots inlaid with dragonstones.,7500,Dragonstone boots.png,24043,,5000,True,Dragonstone boots,12500,Dragonstone boots,,195000,1760546530,170003,1760556429,0.14703858167208814
I wonder if this is valuable.,11115,I wonder if this is valuable.,11475,Dragonstone bracelet.png,11115,10000,7650,True,Dragonstone bracelet,19125,Dragonstone bracelet,,11814,1760563035,11814,1760563486,0.0
"Dragon crossbow bolts, tipped with dragonstone. Double dragon!",21971,"Dragon crossbow bolts, tipped with dragonstone. Double dragon!",597,Dragonstone dragon bolts 5.png,21971,11000,398,True,Dragonstone dragon bolts,995,Dragonstone dragon bolts,,3069,1760558082,3066,1760556441,0.0009784735812133072
"Enchanted Dragon crossbow bolts, tipped with dragonstone. Double dragon!",21948,"Enchanted Dragon crossbow bolts, tipped with dragonstone. Double dragon!",690,Dragonstone dragon bolts (e) 5.png,21948,11000,460,True,Dragonstone dragon bolts (e),1150,Dragonstone dragon bolts (e),,2244,1760562871,2214,1760562714,0.013550135501355014
A stylish rune full helm inlaid with dragonstones.,24034,A stylish rune full helm inlaid with dragonstones.,21120,Dragonstone full helm.png,24034,,14080,False,Dragonstone full helm,35200,Dragonstone full helm,,1345000,1760557377,1180000,1760557382,0.13983050847457626
A stylish pair of rune gauntlets inlaid with dragonstones.,24046,A stylish pair of rune gauntlets inlaid with dragonstones.,7500,Dragonstone gauntlets.png,24046,,5000,True,Dragonstone gauntlets,12500,Dragonstone gauntlets,,299999,1760553839,230000,1760556424,0.30434347826086955
A stylish rune platebody inlaid with dragonstones.,24037,A stylish rune platebody inlaid with dragonstones.,39000,Dragonstone platebody.png,24037,,26000,False,Dragonstone platebody,65000,Dragonstone platebody,,840000,1760557354,771205,1760562412,0.08920455650572805
A stylish pair of rune platelegs inlaid with dragonstones.,24040,A stylish pair of rune platelegs inlaid with dragonstones.,38400,Dragonstone platelegs.png,24040,,25600,False,Dragonstone platelegs,64000,Dragonstone platelegs,,778367,1760546357,776416,1760552209,0.0025128281745868193
A valuable ring.,1645,A valuable ring.,10575,Dragonstone ring.png,1645,10000,7050,True,Dragonstone ring,17625,Dragonstone ring,,11475,1760563307,11433,1760563487,0.0036735764891104696
The bones of a ferocious Drake.,22783,The bones of a ferocious Drake.,96,Drake bones.png,22783,7500,64,True,Drake bones,160,Drake bones,,3798,1760559957,3478,1760563352,0.09200690051753882
The claw of a ferocious drake. They could be combined with the boots of stone.,22957,The claw of a ferocious drake. They could be combined with the boots of stone.,60000,Drake's claw.png,22957,15,40000,True,Drake's claw,100000,Drake's claw,,370000,1760556448,361979,1760562793,0.022158744015536812
The tooth of a ferocious drake. They could be combined with holy sandals.,22960,The tooth of a ferocious drake. They could be combined with holy sandals.,60000,Drake's tooth.png,22960,70,40000,True,Drake's tooth,100000,Drake's tooth,,79991,1760559267,60501,1760562799,0.3221434356456918
A teleport to Draynor Manor.,19615,A teleport to Draynor Manor.,1,Draynor manor teleport (tablet).png,19615,10000,1,True,Draynor manor teleport (tablet),1,Draynor manor teleport (tablet),,1655,1760563464,1436,1760563345,0.15250696378830084
"A very large net, too big to be used by hand.",21652,"A very large net, too big to be used by hand.",12,Drift net.png,21652,600,8,True,Drift net,20,Drift net,,2983,1760562122,2589,1760561425,0.15218230977211278
Keeps a druid's knees nice and warm.,538,Keeps a druid's knees nice and warm.,18,Druid's robe.png,538,125,12,True,Druid's robe,30,Druid's robe,,9255,1760501529,2256,1760562284,3.1023936170212765
I feel closer to the gods when I am wearing this.,540,I feel closer to the gods when I am wearing this.,24,Druid's robe top.png,540,125,16,True,Druid's robe top,40,Druid's robe top,,27441,1760408093,2786,1760545768,8.849605168700647
A warm creamy alcoholic beverage.,2092,A warm creamy alcoholic beverage.,18,Drunk dragon.png,2092,2000,12,True,Drunk dragon,30,Drunk dragon,,7601,1760529301,5000,1760505685,0.5202
A brutal pair.,28997,A brutal pair.,174006,Dual macuahuitl.png,28997,15,116004,True,Dual macuahuitl,290010,Dual macuahuitl,,7601768,1760563370,7378421,1760563259,0.030270297669379397
A pair of aggressive Sai.,23206,A pair of aggressive Sai.,3600,Dual sai.png,23206,8,2400,True,Dual sai,6000,Dual sai,,4780,1760552545,4715,1760562817,0.013785790031813362
What you have here is some totally worthless dust. Excellent stuff!,30328,What you have here is some totally worthless dust. Excellent stuff!,1,Dust_(item).png,30328,250,1,False,Dust,1,Dust,,2500,1760415380,100,1760418515,24.0
